date,height1,height2,in_valve1,in_valve2,in_flow,out_valve1,out_valve2,out_flow
2020-02-17 19:00:00,2.5451166666666665,2.5583,0.0,0.0,356.30411666666663,0.0,0.0,576.3978033333333
2020-02-17 20:00:00,2.4181000000000004,2.4416166666666665,0.0,0.0,434.67842333333334,0.0,0.0,376.3238416666666
2020-02-17 21:00:00,2.412783333333333,2.4384,0.0,0.0,438.4247016666667,0.0,0.0,394.51300499999996
2020-02-17 22:00:00,2.364616666666667,2.39005,0.0,0.0,451.33936,0.0,0.0,352.7675683333334
2020-02-17 23:00:00,2.4335666666666667,2.4396166666666668,0.0,0.0,586.0042366666668,0.0,0.0,273.7472366666667
2020-02-18 00:00:00,2.5111833333333333,2.528316666666667,0.0,0.0,534.532665,0.0,0.0,254.23282333333333
2020-02-18 01:00:00,2.6025666666666667,2.6214166666666667,0.0,0.0,537.6589483333333,0.0,0.0,231.16435833333333
2020-02-18 02:00:00,2.72365,2.7440833333333337,0.0,0.0,537.2696283333333,0.0,0.0,191.20064
2020-02-18 03:00:00,2.8554833333333334,2.877616666666667,0.0,0.0,539.4843683333334,0.0,0.0,188.1326883333333
2020-02-18 04:00:00,2.9880833333333334,3.0119,0.0,0.0,529.350795,0.0,0.0,184.58390833333334
2020-02-18 05:00:00,3.147766666666667,3.18115,0.0,0.0,501.31484041666664,0.0,0.0,206.27411500000002
2020-02-18 06:00:00,3.4309333333333334,3.4694333333333334,0.0,0.0,280.05934375,0.0,0.0,278.28963666666664
2020-02-18 07:00:00,3.5569166666666665,3.6103,0.0,0.0,290.1349691666666,0.0,0.0,356.9620316666667
2020-02-18 08:00:00,3.4696333333333333,3.535816666666667,0.0,0.0,318.4656366666667,0.0,0.0,439.44554166666666
2020-02-18 09:00:00,3.345066666666667,3.4123,0.0,0.0,321.43235,0.0,0.0,414.8598416666666
2020-02-18 10:00:00,3.295933333333333,3.3549,0.0,0.0,321.29425999999995,0.0,0.0,322.71770000000004
2020-02-18 11:00:00,3.24565,3.3059333333333334,0.0,0.0,318.470075,0.0,0.0,363.9273933333333
2020-02-18 12:00:00,3.147883333333333,3.21245,0.0,0.0,317.2450816666667,0.0,0.0,440.954495
2020-02-18 13:00:00,3.04835,3.110516666666667,0.0,0.0,314.69803333333334,0.0,0.0,392.93055333333336
2020-02-18 14:00:00,2.9956666666666667,3.0508333333333337,0.0,0.0,314.8984,0.0,0.0,313.48620166666666
2020-02-18 15:00:00,2.9564833333333334,3.013116666666667,0.0,0.0,315.98071999999996,0.0,0.0,319.30632499999996
2020-02-18 16:00:00,2.9201166666666665,2.976,0.0,0.0,315.7054866666667,0.0,0.0,332.46233
2020-02-18 17:00:00,2.8671,2.9254000000000002,0.0,0.0,328.660645,0.0,0.0,360.41820333333334
2020-02-18 18:00:00,2.7773333333333334,2.840316666666667,0.0,0.0,323.19313500000004,0.0,0.0,520.429925
2020-02-18 19:00:00,2.549316666666667,2.6223,0.0,0.0,320.52204,0.0,0.0,597.34468
2020-02-18 20:00:00,2.4149666666666665,2.4762166666666667,0.0,0.0,324.1667033333333,0.0,0.0,376.23201
